seconds,raw_value,our-attention,attention,our_attention,blink,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
27.36392522,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.46853805,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.57292199,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.67777014,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.78165889,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.88610291,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.99071503,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.09543204,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.20004582,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.30439305,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.40883589,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.51292706,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.617486,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.721668,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.82681298,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
28.93139482,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
29.03576899,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
29.14029193,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
29.244802,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
29.34927082,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
29.45376015,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
